職缺名稱,公司名稱,位置,經驗,學位,技能,連結
iOS-APP開發工程師,禾羽科技有限公司,台北市萬華區,經歷不拘,學歷不拘,"Android, iOS, Git, Objective-C, SWIFT",https://www.104.com.tw/job/83r7z?jobsource=hotjob_chr
工程師 (實驗室系統管理) 約聘,ACT Genomics Co. Ltd_行動基因生技股份有限公司,台北市內湖區,經歷不拘,大學,"Python, VBA, MySQL, PostgreSQL",https://www.104.com.tw/job/8ajw5?jobsource=hotjob_chr
Golang 工程師,川石整合有限公司,台北市信義區,3年以上,專科,不拘,https://www.104.com.tw/job/8bx50?jobsource=index_s
前端工程師,安瑟樂威股份有限公司,台北市信義區,經歷不拘,專科,"JavaScript, jQuery, CSS, ReactJS, VueJS, Socket",https://www.104.com.tw/job/8bbx7?jobsource=index_s
"高級後端工程師**月薪60,000~80,000**",小熊科技有限公司,新北市板橋區,2年以上,學歷不拘,不拘,https://www.104.com.tw/job/74xzl?jobsource=index_s
韌體研發工程師,捷揚航電股份有限公司,台北市內湖區,經歷不拘,大學,"Linux, Github, C#, C++, Python",https://www.104.com.tw/job/4nj4r?jobsource=index_s
Java 副工程師,華擎軟體科技有限公司,台北市南港區,經歷不拘,專科,Java,https://www.104.com.tw/job/7ea6w?jobsource=index_s
【資訊部】助理工程師/技術支援工程師,宏將廣告股份有限公司,台北市中山區,經歷不拘,專科,不拘,https://www.104.com.tw/job/8c328?jobsource=index_s
前端工程師,優護平台股份有限公司,台北市大安區,經歷不拘,大學,不拘,https://www.104.com.tw/job/4uwe5?jobsource=index_s
軟體系統工程師,艾知科技股份有限公司,台北市內湖區,經歷不拘,大學,"Linux, C#, C++, Python, MS SQL, AWS, JavaScript",https://www.104.com.tw/job/7q038?jobsource=index_s
Java 軟體工程師,華擎軟體科技有限公司,台北市南港區,1年以上,專科,"AJAX, Java, JSP, JDBC",https://www.104.com.tw/job/6b9h9?jobsource=index_s
網路工程師-台北,殷諾科技股份有限公司,台北市內湖區,經歷不拘,專科,不拘,https://www.104.com.tw/job/3n4z7?jobsource=index_s
影像演算法工程師,捷揚航電股份有限公司,台北市內湖區,經歷不拘,大學,不拘,https://www.104.com.tw/job/6dyhp?jobsource=index_s
AI電商公司-HR人員,詔群國際有限公司,新北市新莊區,經歷不拘,學歷不拘,不拘,https://www.104.com.tw/job/8auvf?jobsource=index_s
軟體助理工程師,博格科技股份有限公司,台北市大安區,經歷不拘,大學,"C#, MS SQL, HTML, jQuery",https://www.104.com.tw/job/54z7k?jobsource=index_s
後端開發工程師（Laravel）,WeddingDay_宇宙方塊股份有限公司,台北市中山區,1年以上,大學,"PHP, MySQL, AWS",https://www.104.com.tw/job/841fv?jobsource=index_s
App工程師,合創數位科技股份有限公司,新北市中和區,經歷不拘,專科,"iOS, Android, Python",https://www.104.com.tw/job/8c3if?jobsource=index_s
Unity遊戲程式工程師,大頑遊戲創作有限公司,台北市松山區,1年以上,大學,Unity3D,https://www.104.com.tw/job/8b3yu?jobsource=index_s
WPF 資深軟體工程師,進懋有限公司,新北市永和區,經歷不拘,專科,"C#, Python, Visual C#, WinForm, MS SQL",https://www.104.com.tw/job/7shty?jobsource=index_s
設計 / 網頁前端工程師 - 台北總部,字神帝國英語學院_新視界國際文教顧問有限公司,台北市中正區,經歷不拘,專科,"HTML, JavaScript, CSS, Adobe Photoshop, Illustrator",https://www.104.com.tw/job/6tjur?jobsource=index_s
EC Engineer,美商定誼科技股份有限公司台灣分公司,新北市五股區,3年以上,大學,不拘,https://www.104.com.tw/job/89z8b?jobsource=index_s
